sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-comprehend-custom-entity,,2.0,,5.5,1173.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-comprehend-doc-search,,5.0,,7.0,2403.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-comprehend-examples,,4.0,,23.0,2790.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-comprehend-medical-fhir-integration,,4.5,,0.0,1374.0,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-comprehend-medical-image-deidentification,,1.0,,0.0,899.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-custom-entity-recognition-textract-comprehend,0.0,1.5,,2.0,1677.5,,2.0,1733.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-dax-lambda-nodejs-sample,,3.0,,16.0,966.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-deequ-glue,2.6666666666666665,5.333333333333333,,4.666666666666667,1328.6666666666667,,13.666666666666666,1722.6666666666667,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-detective-multiaccount-scripts,28.0,4.75,,5.25,1668.25,,5.0,2015.0,2.0,2.0,AWS,50.0,50.0
aws-samples/amazon-documentdb-samples,1.0,11.0,,4.75,1529.0,,0.0,1822.0,1.0,3.0,AWS,75.0,25.0
aws-samples/amazon-documentdb-serverless-samples,,1.5,,28.0,2728.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-dynamodb-labs,10.833333333333334,32.90909090909091,,7.818181818181818,3235.909090909091,,9.0,3531.6666666666665,6.0,5.0,AWS,45.45454545454545,54.54545454545454
aws-samples/amazon-ec2-auto-scaling-group-examples,57.0,3.3333333333333335,,0.0,2105.3333333333335,,12.0,3455.0,1.0,2.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-ec2-global-dashboard,6.0,3.0,,0.0,2385.0,,3.0,2187.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ec2-image-builder-samples,1.75,12.75,,8.25,1546.75,,19.25,3242.5,4.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ec2-native-infrastructure-security-workshop,44.0,1.5,,3.5,979.5,,1.0,1869.0,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ecr-continuous-scan,,1.0,,0.0,1506.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-ecr-cross-region-replication,1.0,3.3333333333333335,,1.0,1008.0,,8.5,1893.5,2.0,1.0,AWS,33.33333333333333,66.66666666666666
aws-samples/amazon-ecr-replication-for-pub-container-images,0.0,1.0,,0.0,124.0,,0.0,125.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ecs-catsndogs-workshop,38.90909090909091,18.625,,4.708333333333333,1300.375,,4.0,1255.3636363636363,11.0,13.0,AWS,54.166666666666664,45.83333333333333
